function,equanimity_subsets,equanimity_subsets_normalized,equanimity_importance,entanglement
0101111111101101,-1.75,0.691406,0.4375,6
110011101100001,-3.39583,0.518229,0.4375,6
0101010010000001,-1.84505,0.651042,0.5,7
111100001101011,-3.5013,0.541667,0.5,7
1011000100100101,-2.2513,0.572917,0.5,8
01100001010101,-2.60938,0.605469,0.5625,7
1010000011,-3.04167,0.622396,0.3125,6
11100111101101,-1.60938,0.632812,0.5625,8
00000001000111,-1.75,0.691406,0.4375,6
1011011111000101,-1.83854,0.606771,0.5,8
1010101000111101,-2.2513,0.572917,0.5,7
0000010011,-1.72005,0.729167,0.3125,6
10111111000001,-4.79167,0.466146,0.375,6
111101101001,-3.75,0.53125,0.5,6
11110101110101,-4.63021,0.502604,0.375,5
101000000111,-3.47005,0.572917,0.375,6
00101110111111,-2.31771,0.576823,0.4375,7
1111000000000111,-1.66797,0.585938,0.5,5
100000111101011,-1.29167,0.626302,0.625,6
0011011101110111,-4.28255,0.533854,0.3125,5
0110111010110011,-1.60938,0.632812,0.5625,7
0001011110101001,-1.70833,0.611979,0.625,6
100101000101,-2.51172,0.632812,0.5,5
000011101000101,-4.29688,0.511719,0.375,7
1001100000101,-1.92839,0.645833,0.5,7
0010000011101101,-3.64714,0.520833,0.4375,7
100101111101111,-1.03255,0.690104,0.5625,7
0011110011010011,-0.980469,0.664062,0.6875,6
000111011110101,-1.4388,0.611979,0.5625,7
0001000111111001,-3.72917,0.509115,0.4375,6
0101100101000101,-3.41797,0.546875,0.5,7
11011000110011,-4.79167,0.466146,0.375,6
0110110010010001,-1.0638,0.658854,0.6875,6
1000101000010001,-1.49089,0.638021,0.4375,6
1001010111001,-2.10547,0.59375,0.5625,6
0000100011000011,-1.84505,0.651042,0.5,6
001101011001001,-1.8763,0.619792,0.625,7
0111000101001111,-2.2513,0.572917,0.5,8
01100110100101,-1.0638,0.658854,0.6875,6
101000000010001,-3.04167,0.622396,0.3125,6
0100010000111101,-2.83464,0.559896,0.5,7
0101110101000111,-4.23047,0.507812,0.4375,7
0000000001001001,-1.57422,0.75,0.375,6
1101001010110011,-2.83464,0.559896,0.5,8
000001111010011,-2.2513,0.572917,0.5,7
1010000011001001,-2.42188,0.59375,0.5,6
000111110000101,-4.45964,0.481771,0.375,6
0000000111111001,-3.64714,0.520833,0.4375,7
0100000101101101,-2.60547,0.585938,0.5625,7
111000000011101,-2.83464,0.559896,0.5,7
0000010100011111,-5.04297,0.46875,0.375,6
0000000100010001,-2.53255,0.690104,0.25,4
011001110010111,-2.2513,0.572917,0.5,8
100010111101,-1.66797,0.585938,0.5,8
0100101000101001,-1.38021,0.658854,0.625,6
111011100110011,-2.31771,0.576823,0.4375,5
1000110100110001,-1.66797,0.585938,0.5,8
111011101001,-3.5,0.535156,0.5,6
001100011010011,-2.10547,0.59375,0.5625,8
10101011011011,-2.02214,0.598958,0.5625,8
101011110011111,-2.65755,0.611979,0.4375,7
010000101011111,-2.6875,0.574219,0.5625,7
00001100010001,-3.04167,0.622396,0.3125,6
001111110111001,-2.90104,0.563802,0.4375,7
01010011100101,-1.8763,0.619792,0.625,7
00111111001111,-2.31771,0.576823,0.4375,5
1000100000111,-2.07422,0.625,0.4375,5
001111100101101,-1.4388,0.611979,0.5625,7
100001110101111,-1.79297,0.625,0.625,7
1101110011011,-4.45964,0.481771,0.375,6
0111001000111111,-2.90104,0.563802,0.4375,7
0001010010111,-1.83854,0.606771,0.5,8
1011000000101111,-2.33333,0.561198,0.5,7
110011000000111,-4.45964,0.481771,0.375,6
1101111111,-4.45964,0.481771,0.375,6
0110100001110001,-2.02214,0.598958,0.5625,7
0110001010011001,-0.980469,0.664062,0.6875,6
1011011011001111,-1.11589,0.684896,0.5625,6
1000110001001111,-4.3125,0.496094,0.4375,7
110111111011111,-0.907552,0.768229,0.375,6
0000111111001,-3.0638,0.533854,0.4375,6
101000011010111,-2.91667,0.548177,0.5,6
0110001010100101,-1.20964,0.638021,0.625,7
000000011100111,-3.23438,0.554688,0.4375,7
111011111111,-2.88672,0.585938,0.375,5
1010000000101,-2.5625,0.652344,0.375,5
0111000010011,-2.42188,0.59375,0.5,7
011111100100011,-2.2513,0.572917,0.5,8
0111101111110111,-1.57422,0.75,0.375,6
0001000101011001,-3.23438,0.554688,0.4375,7
1100101000011,-2.08854,0.602865,0.5,7
101011110010001,-4.79167,0.466146,0.375,6
101111000101111,-1.27604,0.641927,0.5625,7
0111000111010111,-3.42188,0.566406,0.5,7
1100011111110011,-1.49089,0.638021,0.4375,6
101110000111001,-3.16667,0.544271,0.5,8
1011011001111101,-1.05339,0.700521,0.625,6
1110010001110101,-3.0638,0.533854,0.4375,6
1011011111101,-2.02604,0.61849,0.5625,7
10101101011111,-1.27604,0.641927,0.5625,7
1110000111001111,-1.83854,0.606771,0.5,7
010110101100001,-1.4388,0.611979,0.5625,7
1001111001010111,-1.60938,0.632812,0.5625,8
1000101001100111,-2.10417,0.58724,0.5625,6
1111111010000011,-2.67188,0.589844,0.5,7
010100101101001,-2.2513,0.572917,0.5,6
111000011111001,-3.5013,0.541667,0.5,7
010111101111111,-1.64583,0.674479,0.375,6
